type;name;gnd-id;gnd-url;bemerkungen;gnd-name;lobid-search-url;j-special;j-geburt;j-tod
persName;Costantino Maes;1055090436;;;Maes, Costantino;;;1839;1910
persName;Heinrich Freiherr von Maltzan;118932160;;;Maltzan, Heinrich Freiherr von;;;1826;1874
persName;Terenzio Mamiani della Rovere;119520303;http://d-nb.info/gnd/119520303;;Mamiani della Rovere, Terenzio;http://lobid.org/gnd/search?q=Terenzio+Mamiani+della+Rovere;;1799;1885
persName;Margherita Königin von Savoyen;120736233 ;;;Margherita Königin von Savoyen;http://lobid.org/gnd/search?q=Margherita+Königin+von+Savoyen;;1851;1926
persName;Clemente Maraini;1061006174;;;Maraini,Clemente;;;1838;1905
persName;Berta Mariano;;;;Mariano, Berta;;;1881;
persName;Raffaele Mariano;116771992;http://d-nb.info/gnd/116771992;;Mariano, Raffaele;http://lobid.org/gnd/search?q=Raffaele+Mariano;;1840;1912
persName;Ferdinando Martini;119188244;;;Martini, Ferdinando;http://lobid.org/gnd/search?q=Ferdinando+Martini;;1848;1928
persName;Elisabeth Mayer (1) ?;;;;Mayer, Elisabeth (1) ?;http://lobid.org/gnd/search?q=Elisabeth+Mayer+(1)+?;;;1887
persName;Elisabeth Mayer (2);;;;Mayer, Elisabeth (2);;;1858;
persName;Malwida von Meysenbug;118582054;http://d-nb.info/gnd/118582054;;Meysenbug, Malwida von;http://lobid.org/gnd/search?q=Malwida+von+Meysenbug;;1816;1903
persName;Biagio Miraglia;143096192;;;Miraglia, Biagio;;;1823;1885
persName;Marie Milkau;;;;Milkau, Marie;http://lobid.org/gnd/search?q=Marie+Milkau;;;
persName;Laura Minghetti;1064770916;;;Minghetti, Laura;http://lobid.org/gnd/search?q=Laura+Minghetti;;1829;1915
persName;Marco Minghetti;118855638;http://d-nb.info/gnd/118855638;;Minghetti, Marco;http://lobid.org/gnd/search?q=Marco+Minghetti;;1818;1886
orgName;Morgenblatt für gebildete Leser;4345483-5;http://d-nb.info/gnd/4345483-5;;Morgenblatt für gebildete Leser;http://lobid.org/gnd/search?q=Morgenblatt+für+gebildete+Leser;;;
persName;Heinrich von Mühler;117162965;;;Mühler, Heinrich von;;;1813;1874
persName;Wolfgang Müller von Königswinter;118737627;;;Müller von Königswinter, Wolfgang;http://lobid.org/gnd/search?q=Wolfgang+Müller+von+Königswinter;;1816;1873
persName;Jules Mourier;15914213X;;;Mourier, Jules;;;1846;
persName;Willy von Mumm;117181277;http://d-nb.info/gnd/117181277;;Mumm, Willy von;http://lobid.org/gnd/search?q=Willy+von+Mumm;;;
persName;Eugène Müntz;11717887X;;;Müntz, Eugène;;;1845;1902
